Id,Sales
1,4645.23
857,4693.47
1713,4651.78
2569,5199.56
3425,0
4281,4618.6
5137,3641.34
5993,3359.29
6849,3410.31
7705,3581.04
8561,3931.55
9417,0
10273,4703.6
11129,4615.68
11985,4477.28
12841,4575.06
13697,4806.22
14553,5690.08
15409,0
16265,4075.9
17121,3801.69
17977,3461.21
18833,3400.59
19689,3594.81
20545,3829.13
21401,0
22257,3889.26
23113,4567.72
23969,4470.28
24825,4540.27
25681,5063.22
26537,5703.78
27393,0
28249,4292.67
29105,3775.43
29961,3796.49
30817,3742.38
31673,3631.94
32529,3980.27
33385,0
34241,4214.23
35097,4604.15
35953,4793.8
36809,4894.8
37665,5135.71
38521,5820.17
39377,0
40233,4627.28
2,7474.61
858,8256.71
1714,8967.24
2570,10053.36
3426,0
4282,3881.23
5138,5458.43
5994,5597.91
6850,5558.25
7706,5721.12
8562,5827.99
9418,0
10274,3958.57
11130,7004.06
11986,7452.26
12842,8435.33
13698,9163.45
14554,9952.19
15410,0
16266,4083.15
17122,5473.51
17978,5647.76
18834,5517.51
19690,5656.42
20546,5695.33
21402,0
22258,3765.36
23114,6963.68
23970,7563.51
24826,7932.55
25682,9170.09
26538,9506.85
27394,0
28250,3476.69
29106,5515.86
29962,5782.08
30818,5594.02
31674,5744.21
32530,5820.62
33386,0
34242,3621.56
35098,6958.69
35954,7599.48
36810,7764.46
37666,9358.39
38522,8766.29
39378,0
40234,4093.27
3,10748.72
859,10678.57
1715,11856.19
2571,12058.25
3427,0
4283,6507.36
5139,8767.56
5995,8749.48
6851,8407.65
7707,8879.64
8563,8943.61
9419,0
10275,6559.07
11131,11998.65
11987,10996.42
12843,10965.28
13699,11946.2
14555,13102.94
15411,0
16267,6823.64
17123,9246.12
17979,8903.02
18835,8351.15
19691,8996.8
20547,9619.98
21403,0
22259,6828.44
23115,13275.79
23971,11741.98
24827,11777.77
25683,12537.61
26539,13933.02
27395,0
28251,6951.7
29107,9663.28
29963,9247.95
30819,8684.09
31675,9358.41
32531,10099.91
33387,0
34243,7021.19
35099,13172.99
35955,11913.45
36811,12046.53
37667,12860.27
38523,14463.47
39379,0
40235,7031.96
4,8282.78
860,8085.85
1716,8350.32
2572,9182.38
3428,0
4284,3353.15
5140,5723.73
5996,5622.25
6852,5230.36
7708,5340
8564,6111.3
9420,0
10276,3355.91
11132,6819.82
11988,8282.78
12844,8085.85
13700,8354.98
14556,9212.95
15412,0
16268,3389.5
17124,5637.22
17980,5565.19
18836,5289.9
19692,5286.86
20548,5893.32
21404,0
22260,3372.11
23116,6800.91
23972,8306.9
24828,7515.55
25684,7689.78
26540,8614.12
27396,0
28252,3348.37
29108,5736.64
29964,5698.48
30820,5298.71
31676,5312.87
32532,5888.18
33388,0
34244,3348.37
35100,6800.91
35956,8301.66
36812,7510.31
37668,7689.78
38524,8747.72
39380,0
40236,3369.8
5,7947.15
861,7863.3
1717,8735.45
2573,11808.96
3429,0
4285,5683.19
5141,5733.31
5997,6094.92
6853,5776.81
7709,6031.25
8565,6753.62
9421,0
10277,5591.58
11133,8005.26
11989,8045.17
12845,7982.86
